T11 T21
4.126302e-01 1.982895e-01
4.065751e-01 2.026258e-01
4.055984e-01 1.936669e-01
4.019420e-01 1.989719e-01
3.947830e-01 2.062704e-01
4.064700e-01 2.013053e-01
4.034378e-01 2.020885e-01
4.120454e-01 1.838717e-01
4.015149e-01 1.994726e-01
4.061564e-01 1.899369e-01
3.859408e-01 2.042835e-01
4.079065e-01 1.971881e-01
3.934438e-01 2.067985e-01
3.994332e-01 2.031080e-01
3.903229e-01 2.094389e-01
4.022849e-01 2.038548e-01
4.005363e-01 2.143154e-01
3.988732e-01 1.984455e-01
4.091673e-01 1.979563e-01
4.156916e-01 1.948455e-01
4.096679e-01 1.997033e-01
4.100843e-01 1.970916e-01
3.908454e-01 2.058560e-01
4.063480e-01 1.951489e-01
3.921083e-01 2.092870e-01
4.089330e-01 1.990332e-01
3.899127e-01 2.074806e-01
4.122519e-01 1.852652e-01
4.049361e-01 1.913148e-01
3.868043e-01 2.090263e-01
4.118171e-01 1.987213e-01
4.002902e-01 1.983207e-01
3.975214e-01 1.883706e-01
3.963298e-01 2.057190e-01
4.090814e-01 1.953431e-01
3.894976e-01 2.029231e-01
4.009966e-01 2.049126e-01
3.974103e-01 1.991193e-01
3.918663e-01 2.027454e-01
3.964612e-01 2.016699e-01
4.037191e-01 2.021366e-01
4.051728e-01 2.072013e-01
4.001638e-01 1.948349e-01
4.042095e-01 1.995386e-01
3.858685e-01 2.157434e-01
4.033565e-01 2.017981e-01
4.149160e-01 1.954227e-01
3.885280e-01 2.104963e-01
3.907453e-01 1.986123e-01
4.039762e-01 1.883702e-01
3.934534e-01 1.984601e-01
4.019754e-01 1.999929e-01
3.970654e-01 2.052198e-01
4.178734e-01 1.847684e-01
4.124259e-01 1.869402e-01
4.074173e-01 1.829044e-01
3.984686e-01 2.050135e-01
3.894928e-01 2.005855e-01
4.048210e-01 1.996134e-01
3.966721e-01 2.092826e-01
3.932276e-01 2.036389e-01
3.856681e-01 2.120515e-01
