T11 T21
3.943986e-01 2.023225e-01
4.077947e-01 2.028742e-01
3.897310e-01 2.066780e-01
4.041636e-01 1.991171e-01
4.180388e-01 1.956891e-01
4.004493e-01 1.911582e-01
3.922296e-01 1.987437e-01
3.877867e-01 2.067395e-01
3.796239e-01 2.024777e-01
4.157357e-01 1.926269e-01
4.066599e-01 1.944940e-01
4.013529e-01 2.042426e-01
3.934527e-01 1.928102e-01
4.006400e-01 2.063337e-01
3.947865e-01 2.128464e-01
4.098483e-01 1.934998e-01
4.085290e-01 1.899417e-01
3.995809e-01 1.992205e-01
4.147300e-01 1.891994e-01
3.904981e-01 1.979746e-01
4.014302e-01 1.899065e-01
4.090451e-01 1.912376e-01
3.915163e-01 2.105384e-01
4.046125e-01 1.965521e-01
3.975841e-01 1.941104e-01
3.898035e-01 2.003833e-01
4.015653e-01 2.069803e-01
4.112592e-01 2.014124e-01
3.888940e-01 2.140172e-01
3.883344e-01 2.069959e-01
4.094749e-01 1.939357e-01
4.079299e-01 2.110870e-01
3.982265e-01 2.025060e-01
4.128877e-01 2.009506e-01
4.014028e-01 2.024977e-01
3.948027e-01 1.951422e-01
3.850703e-01 2.085399e-01
3.983124e-01 2.021528e-01
3.914375e-01 2.030777e-01
3.882591e-01 2.091111e-01
4.028954e-01 2.070876e-01
3.866548e-01 2.036529e-01
4.070020e-01 1.972299e-01
3.854477e-01 2.004252e-01
4.142965e-01 1.998744e-01
3.953150e-01 2.016551e-01
3.947134e-01 2.023096e-01
4.030949e-01 1.979723e-01
3.889567e-01 2.153190e-01
4.001030e-01 2.012837e-01
4.008749e-01 2.054818e-01
4.040618e-01 2.108391e-01
4.044832e-01 1.986391e-01
3.831517e-01 2.076511e-01
3.937417e-01 2.048170e-01
4.032602e-01 2.028362e-01
3.979597e-01 1.984847e-01
3.907840e-01 2.063668e-01
