T11 T21
3.742842e-01 2.093012e-01
4.198218e-01 1.973910e-01
3.863639e-01 1.904038e-01
3.957295e-01 1.968660e-01
3.980017e-01 2.067615e-01
3.942707e-01 2.063153e-01
3.987073e-01 1.973577e-01
3.979137e-01 2.054360e-01
3.992053e-01 2.005793e-01
4.020052e-01 1.900779e-01
4.015585e-01 1.862512e-01
3.823303e-01 2.003897e-01
3.911634e-01 2.056625e-01
3.965610e-01 2.028972e-01
3.971650e-01 1.987636e-01
4.048022e-01 1.920265e-01
4.096199e-01 1.880683e-01
4.026453e-01 1.896574e-01
4.061327e-01 1.849752e-01
3.824167e-01 1.964662e-01
4.103997e-01 1.892016e-01
3.986187e-01 2.075345e-01
4.113414e-01 1.984099e-01
3.951255e-01 2.077656e-01
4.053155e-01 1.903324e-01
4.141085e-01 1.891641e-01
4.046986e-01 1.830336e-01
4.031938e-01 2.012927e-01
4.152142e-01 1.993369e-01
3.981191e-01 1.974583e-01
3.849356e-01 1.984557e-01
3.793077e-01 2.107668e-01
4.039613e-01 1.867277e-01
3.914155e-01 1.975132e-01
3.908758e-01 1.944118e-01
4.086134e-01 2.064143e-01
4.013612e-01 2.034772e-01
3.952582e-01 2.070958e-01
3.869975e-01 1.991972e-01
3.981272e-01 1.946968e-01
4.026086e-01 1.861996e-01
4.028111e-01 2.036318e-01
3.982443e-01 1.947790e-01
4.000576e-01 1.927488e-01
3.897407e-01 1.971310e-01
4.140815e-01 1.886126e-01
4.099973e-01 1.965723e-01
3.991192e-01 1.909045e-01
3.933370e-01 2.125377e-01
4.095811e-01 1.961358e-01
3.933705e-01 2.077497e-01
3.981028e-01 1.984719e-01
4.061325e-01 2.013059e-01
3.877264e-01 2.080105e-01
4.153251e-01 1.954047e-01
4.182163e-01 1.856893e-01
3.999902e-01 2.020707e-01
3.943018e-01 1.964108e-01
3.984434e-01 2.109520e-01
4.065570e-01 1.854706e-01
3.848178e-01 1.956744e-01
3.943385e-01 2.091503e-01
3.998270e-01 1.930706e-01
3.821494e-01 2.111266e-01
3.874772e-01 2.079252e-01
4.002082e-01 2.019333e-01
4.068963e-01 2.054449e-01
3.999685e-01 2.006974e-01
3.844959e-01 2.122918e-01
4.014870e-01 2.007740e-01
4.197989e-01 1.990627e-01
4.044539e-01 2.030222e-01
3.976489e-01 1.965601e-01
3.925688e-01 1.989078e-01
3.950324e-01 1.914051e-01
3.941506e-01 2.047582e-01
4.013015e-01 2.085420e-01
3.997028e-01 2.018189e-01
4.269368e-01 1.887731e-01
4.111953e-01 2.082063e-01
4.046298e-01 2.073626e-01
3.939421e-01 1.905555e-01
4.068646e-01 1.985097e-01
3.997760e-01 2.000272e-01
3.930757e-01 2.107010e-01
4.058349e-01 2.032461e-01
4.145316e-01 1.947095e-01
4.026239e-01 1.969929e-01
